"","Equity.return","Real.GDP.growth","Output.gap","CPI.inflation","PCE.core.inflation.YoY","Modified.Taylor.rule.outcome","Short.term..3.month..interest.rate","Long.term..10.year..interest.rate","Unemployment","NAIRU"
"Factor.1",-0.0295151954396644,-0.0552418910997126,-0.00432075240331582,-0.619014416402327,-0.903273549199316,-0.534109197867548,-0.757350748247944,-0.874920882524121,-0.153718702733885,-0.790522798639546
"Factor.2",0.82605002999327,0.486529414535793,0.170204742972146,0.00944178794437919,0.107489129451422,0.193203598507132,0.226600311591879,0.220849211953178,-0.0680093159113859,0.0920388544016267
"Factor.3",0.152519972078197,-0.209203431645848,-0.253387145819603,-0.428032933143985,-0.587171276640644,-0.538640469604161,-0.747404077472152,-0.823673414790444,0.106097331064794,-0.58229779569262
"Factor.4",-0.264962766456283,0.374064113939572,0.515880693612102,0.351152722162826,0.0860217505645571,0.444687288898548,0.271822149302437,0.151313002078403,-0.523135936679298,-0.216325742961798
"Factor.5",0.0338114319616683,0.0406309184747987,0.20166377172124,0.154930324961712,0.229531723585993,0.288956779735199,0.29242851220147,0.261132557717831,-0.123651545690135,0.24693522752517
"Factor.6",-0.0205540400736443,0.00190722191904625,-0.309234379930798,-0.19684655592174,0.0171483571889323,-0.226180131268085,-0.315458501733055,-0.270318688980396,0.364854875289778,0.0907015694604915
"Factor.7",-0.0911817889890648,-0.0379226003584154,-0.07687443836982,0.086595141615993,-0.173701850867573,-0.160808418365772,-0.120467845942883,-0.0986694279806459,0.0144178016012253,-0.106930146996586
"Factor.8",-0.0250558342295862,0.0511480325616067,0.405226241984032,0.0235405196963876,-0.164749709289903,0.212780785324556,0.101142400494942,-0.0298888244957924,-0.346242421756169,-0.150328708370789
"Factor.9",0.0699941682639173,-0.0991264529725236,0.365458842451167,0.218180279637187,0.195992708849858,0.394388244467917,0.309738290446144,0.132729035284653,-0.337463426488371,-0.0664508145419408
"Factor.10",-0.0274619182780977,0.224480027769627,0.13221098475869,-0.20992620198806,-0.266566357880536,-0.0556373763884518,-0.111067755590771,-0.10922708140019,-0.177965149471782,-0.175857468026979
