"","Mean","Std. Dev.","Maximum","Minimum","ar1","ar2","ar3","ar10"
"PC1",1.97800662323331e-18,0.0733895061239928,0.104926784630215,-0.171799518002396,0.956649608565796,0.92022053921313,0.87978603044097,0.646385975540111
"PC2",2.20208186546034e-18,0.0109815935849441,0.0215278272300401,-0.0230399639027404,0.858012289735247,0.67166914726526,0.495002774945634,-0.125762625785607
"PC3",4.06244643905694e-19,0.0026990535300808,0.00573067084526221,-0.00855898339617081,0.686307202329708,0.435743857685096,0.293253574048545,0.0348004405527496
"PC4",1.2985946499217e-18,0.00114842589169542,0.00352962958039272,-0.0024145017031299,0.650537557947192,0.580897106334861,0.450867134675543,-0.0697658591075805
"PC5",1.52610578895357e-18,0.000575135782068205,0.00155438712727491,-0.00228866805876014,0.461094714720085,0.336752498531858,0.327853088329461,-0.0855617385378532
"PC6",3.50958688006284e-18,0.000413387441215479,0.0017193822779044,-0.000855420901525143,0.258525457114513,0.205991014150778,0.0715760318575473,-0.148191334436368
"PC7",-1.36664989617918e-18,0.000390618776520919,0.00159392801774773,-0.00116983282554325,0.581627152959123,0.401889361739788,0.371836563507542,-0.0200645310797591
"PC8",-1.73254276044778e-18,0.000208115644294416,0.000624345376907204,-0.000700925329866341,0.159117473378448,0.136761441825526,0.0801836332527959,-0.11598342833375
